Track Name,Artist Name(s),Genre
MADE 4 THIS,Tisoki,"brostep, dubstep, gaming dubstep"
Tim,ARTY,"big room, edm, electro house, pop dance, progressive electro house, progressive house, russian edm"
I Wanna Know,"Alesso, Nico & Vinz","dance pop, edm, pop, pop dance, progressive electro house, afrobeats"
Magical,"Cassian, ZOLLY","N/A, N/A"
Rainforest - Valentino Khan Remix,"Tchami, Valentino Khan","deep groove house, edm, electro house, future house, house, pop dance, progressive house, brostep, edm, electro house, electronic trap, moombahton"
Let Stars Fall,Last Island,N/A
Beat Freak (ft. lau.ra),"Chris Lake, Riva Starr, lau.ra","bass house, edm, electro house, house, melbourne bounce, pop dance, progressive house, tech house, deep house, house, tech house, N/A"
A Drug From God,"Chris Lake, Grimes, NPC","bass house, edm, electro house, house, melbourne bounce, pop dance, progressive house, tech house, art pop, canadian electropop, grave wave, indietronica, metropopolis, neo-synthpop, N/A"
All Night Alone - Chris Lake Edit,"Josement, Chris Lake","german dark minimal techno, bass house, edm, electro house, house, melbourne bounce, pop dance, progressive house, tech house"
Free,"Vintage Culture, Fancy Inc, Roland Clark","brazilian edm, brazilian bass, brazilian edm, garage house"
No Introduction,Dr. Fresch,"bass house, electro house"
Not Meant To Be Easy,Last Island,N/A
Human (feat. Echoes),"John Summit, Echoes","house, pop dance, tech house, uk dance, N/A"
Moon and Stars,Sevenn,brazilian edm
Lullaby,"Flakkë, GUDI, LUISAH","brazilian edm, brazilian house, brazilian house, N/A"
Come Over,"Öwnboss, SPECT3R","brazilian edm, brazilian edm"
Stained Glass,"CloudNone, Direct, Mr FijiWiji, Chxse","N/A, chillstep, gaming edm, melodic dubstep, chillstep, complextro, gaming edm, N/A"
Crave You,Anto,deep groove house
Who You Are - Mixed,KAASI,N/A
Ghosts (feat. Hana),"Tchami, HANA","deep groove house, edm, electro house, future house, house, pop dance, progressive house, dark pop"
Above The Tide,Duke & Jones,uk dance
Memories,"Coopex, New Beat Order, Nito-Onna","covertronica, traprun, covertronica, covertronica"
Fallin for You,SIDEPIECE,"edm, house, tech house"
Shinigami Eyes,Grimes,"art pop, canadian electropop, grave wave, indietronica, metropopolis, neo-synthpop"
OCN,Notaker,complextro
I Need U,Matt Steffanina,N/A
Hypnotized - Loods Dub Remix,"Purple Disco Machine, Sophie and the Giants, Loods","deep house, house, sheffield indie, australian dance, disco house"
i miss u - John Summit Remix,"Jax Jones, Au/Ra, John Summit","dance pop, edm, house, pop dance, uk dance, uk pop, alt z, deep pop edm, house, pop dance, tech house, uk dance"
Cross Your Mind,David Solomon,N/A
Feels Like,Morgin Madison,N/A
Automatic,"Lane 8, Solomon Grey","gauze pop, progressive house, N/A"
Nuclear Lethargy,Lane 8,"gauze pop, progressive house"
Sweet Melodies,Lizzy Land,indie electropop
Untrue,Tchami,"deep groove house, edm, electro house, future house, house, pop dance, progressive house"
Cold - Andrelli Remix,"Boy In Space, unheard, Andrelli","alt z, N/A, swedish pop"
Huna - Light Below Remix,"Damaui, Light Below","dutch edm, N/A"
Around You,Loge21,bass house
Airborne,Aether,"chillstep, substep"
Together,SIDEPIECE,"edm, house, tech house"
Best Be Believing - Shadow Child Remix,"AlunaGeorge, Shadow Child","electropop, uk dance, house, minimal tech house, uk dance"
Good Life,ZHU,"edm, electro house"
viola,eevee,"japanese chillhop, lo-fi beats"
Anything - Malaa Remix,"Alison Wonderland, Valentino Khan, Malaa","aussietronica, edm, electra, electronic trap, escape room, indietronica, brostep, edm, electro house, electronic trap, moombahton, bass house, brostep, edm, electro house, electronic trap, house"
Love at First Sight,TEEMID,new french touch
Don't Speak,"ROËDS, Ally Wictoria","scandipop, N/A"
Leave Your Lover,"LO, Soku, Thomas Sykes","chill house, deep groove house, chill house"
Right Back - Original Mix,Stoto,groove room
Control Me,Bensley,dancefloor dnb
Against The Sun,"Rootkit, Anna Yvette","chillstep, complextro, electro house, gaming edm, melodic dubstep, gaming edm"
Ah Up,Sound Quelle,progressive trance house
Alive,"Zeds Dead, MKLA","brostep, canadian electronic, dubstep, edm, electro house, progressive electro house, brazilian edm"
Getaway - Koven Remix,"Tritonal, Angel Taylor, Koven","edm, electro house, pop dance, pop edm, progressive electro house, progressive house, progressive trance, acoustic pop, chillstep, melodic dubstep"
Everything,"3LAU, Funkin Matt, Frawley","edm, electro house, mashup, pop dance, progressive electro house, progressive house, deep groove house, alt z, singer-songwriter pop"
Sideways,"ILLENIUM, Valerie Broussard, NURKO","edm, melodic dubstep, pop dance, bossbeat, modern alternative pop, melodic dubstep, pop edm"
Save Me (feat. MKLA),"Vintage Culture, Adam K, MKLA","brazilian edm, brazilian edm, canadian electronic, brazilian edm"
Underwater,"Anabel Englund, MK","N/A, house, pop dance"
Need To Feel Loved - Tinlicker Remix,"Reflekt, delline bass, Tinlicker","N/A, N/A, progressive house"
Lick That - Max Styler Remix,"Imanos, Max Styler","N/A, brostep, pop edm, tech house"
Stay High - Ray Foxx Remix,"LO'99, DOOLIE, Ray Foxx","australian house, bass house, deep groove house, australian alternative pop, N/A"
The Wanderer,"LTN, Ghostbeat","progressive house, progressive trance, N/A"
Ordel - Rezident Remix,"Parra for Cuva, Kyson, Beau Diako, Rezident","deep euro house, downtempo, new french touch, ambient idm, N/A, german house"
Overdose,Pascal Junior,"chill house, groove room"
Hope,"Tim Legend, Naomi Wild","N/A, indie electropop"
KNOW ME - Cassian Remix,"BRONSON, Gallant, Cassian, ODESZA, Golden Features","vapor twitch, alternative r&b, N/A, chillwave, edm, indietronica, industrial pop"
Do You Think About Me - filous Remix,"NVDES, filous","indie poptimism, deep tropical house, tropical house"
Awake,Rosehip,N/A
So High,Hopex,"traprun, turkish trap"
My Heart Goes (La Di Da),"Becky Hill, Topic","pop dance, pop house, uk dance, uk pop, german dance, pop dance, pop edm, uk dance"
Animality,"JVLA, Maga, Zupay","viral rap, electronica chilena, N/A"
Stars,"Luke Bond, Nathan Nicholson","deep uplifting trance, progressive house, progressive trance, trance, uplifting trance, N/A"
Nevada,"Vicetone, Cozi Zuehlsdorff","dutch house, edm, electro house, pop dance, progressive electro house, movie tunes"
Silence of Reality,Serhat Durmus,"arab trap, turkish trap"
Love Is Killing Me,BONNIE X CLYDE,electra
Gold (feat. Yuna),"Adventure Club, Yuna","brostep, canadian electronic, complextro, edm, electro house, filthstep, pop dance, malaysian pop"
Forever (feat. Ben Stevenson),"Adventure Club, Ben Stevenson","brostep, canadian electronic, complextro, edm, electro house, filthstep, pop dance, canadian contemporary r&b"
Reload - Radio Edit,"Sebastian Ingrosso, Tommy Trash, John Martin","edm, electro house, pop dance, progressive electro house, progressive house, aussietronica, australian dance, complextro, dutch house, edm, electro house, melbourne bounce, pop dance, progressive electro house, progressive house, pop edm"
Good Things Fall Apart (with Jon Bellion),"ILLENIUM, Jon Bellion","edm, melodic dubstep, pop dance, indie pop rap"
In Your Arms (with X Ambassadors),"ILLENIUM, X Ambassadors","edm, melodic dubstep, pop dance, modern alternative rock, modern rock, stomp pop"
Going Dumb,"Alesso, CORSAK","dance pop, edm, pop, pop dance, progressive electro house, chinese electropop"
Midnight (feat. Liam Payne),"Alesso, Liam Payne","dance pop, edm, pop, pop dance, progressive electro house, pop"
Save Me (feat. Adara),"Adventure Club, Adara","brostep, canadian electronic, complextro, edm, electro house, filthstep, pop dance, N/A"
Crash 2.0,"Adventure Club, DallasK","brostep, canadian electronic, complextro, edm, electro house, filthstep, pop dance, complextro, dutch house, electro house, pop edm, progressive electro house, sky room"
Feed The Fire - Kassian Remix,"SG Lewis, Lucky Daye, Kassian","electropop, indie soul, nu disco, uk dance, vapor soul, alternative r&b, r&b, N/A"
Falling,"Lipless, Mahalo, Carly Paige","N/A, N/A, la pop"
Inner Light,"Elderbrook, Bob Moses","uk dance, canadian electronic, canadian house"
The Longest Road - Steff Da Campo Remix,"Morgan Page, Lissie, Steff da Campo","edm, electro house, pop dance, progressive house, folk-pop, dutch house, electro house, pop edm, sky room"
Chains Chilled (with Project 46),"Kaskade, Project 46","edm, electro house, pop dance, progressive electro house, progressive house, vocal house, complextro, electro house, pop edm, progressive electro house"
By My Side,"MitiS, Tedy","chillstep, complextro, filthstep, melodic dubstep, pop edm, N/A"
You Could Be,"Anz, George Riley","experimental club, indie r&b"
Move - Edit,"Flight Facilities, DRAMA","aussietronica, australian dance, australian indie, indietronica, nu disco, indie soul"
Cotton Candy Lemonade (Anna Lunoe Remix),"Anna Lunoe, Blu DeTiger","electra, nu disco, N/A"
Let A Little Light In - RobbieG Remix,"Everyone You Know, RobbieG","london indie, N/A"
Used To Be - Rasster Remix,"GASHI, Rasster","canadian hip hop, N/A"
Pressure (feat. MAO),"King Topher, MUNNDAY, mao","N/A, N/A, N/A"
In My Head,"Nepsa, Abigail Villanueva","N/A, N/A"
This Place,obylx,N/A
Harder,Reboost,N/A
Feel It,HGZ,uk dance
Lucifer,Rezz,"brostep, canadian electronic, edm, electra, electro house"
Hackers,Metrik,"dancefloor dnb, drum and bass"
Never Be the Same,"Sons Of Maria, Agatha Saron","deep tropical house, tropical house, N/A"
Say My Name,"Matvey Emerson, NEVRMIND","groove room, N/A"
Drop That Skirt - Original Mix,Croatia Squad,house
Let It Be (feat. Veela),"Blackmill, Veela","chillstep, substep, chillstep"
Scared,"SABAI, Claire Ridgely","N/A, montreal indie"
SHADOW SELF,LSDREAM,N/A
LOVELIFE (with Jeremih),"Benny Benassi, Jeremih","edm, electro house, pop dance, chicago rap, pop rap, r&b, trap, urban contemporary"
Dreams (feat. Lanie Gardner),"David Guetta, MORTEN, Lanie Gardner","big room, dance pop, edm, pop, pop dance, danish electronic, scandipop, N/A"
Into My Bed,"Harpoon, Sammi Constantine","N/A, N/A"
Promises (with Sam Smith),"Calvin Harris, Sam Smith, Jessie Reyez","dance pop, edm, electro house, house, pop, pop dance, progressive house, uk dance, pop, uk pop, canadian contemporary r&b, canadian pop"
Absolute Zero,Ahmed Helmy,N/A
Body on Fire,"Dillistone, NOËP","pop edm, estonian electronic, estonian pop"
Live a Little (Remix),"BONNIE X CLYDE, Joysic","electra, N/A"
Home,"Mom N Dad, Marquette King","N/A, N/A"
Heart,"OTR, Shallou","stutter house, electropop, indie electropop"
I Was Lovin' You (feat. Dots Per Inch & Ayak) - TS7 Remix,"James Hype, Ayak, Dots Per Inch, TS7","deep groove house, house, pop dance, uk dance, N/A, N/A, bass house, bassline, old school bassline"
ME N U,"CID, Riddim Commission","bass house, deep groove house, dutch house, edm, electro house, house, pop dance, pop edm, progressive electro house, progressive house, tech house, uk dance, bass house, bassline, old school bassline"
I Need Your Love,"Riddim Commission, TS7, Syleena Johnson","bass house, bassline, old school bassline, bass house, bassline, old school bassline, contemporary r&b, neo soul, r&b, urban contemporary"
Cold Blooded,ZHU,"edm, electro house"
BOOM,"Tiësto, Sevenn, Gucci Mane","big room, brostep, dutch edm, edm, house, pop dance, slap house, trance, brazilian edm, atl hip hop, dirty south rap, hip hop, pop rap, rap, southern hip hop, trap"
Somebody New,TELYKAST,N/A
Falls - Gigamesh Remix,"Bayonne, Gigamesh","austindie, electrofox, filter house, nu disco"
Here Right Now,"George Michelle, GAUCI","N/A, australian indie"
Down On Me,"Jeremih, 50 Cent","chicago rap, pop rap, r&b, trap, urban contemporary, east coast hip hop, gangster rap, hip hop, pop rap, queens hip hop, rap"
Common Ground,"TWO LANES, Keiynan","uk dance, N/A"
One Day They'll Know (ODESZA Remix),Pretty Lights,"glitch hop, jazztronica, livetronica"
