"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","ISRC","Added By","Added At"
"spotify:track:6Ek8TiRdFoyVqhyAYdHlnQ","Galaxies","spotify:artist:2C6mZWJko3FUk3vm91zmmX, spotify:artist:0F3vZAu9xOQPWqHoK5Bx8l, spotify:artist:3d1McM4tUPhmAuY1Z0MDBo","Stst, Squill, Eden Knight","spotify:album:2rPZYcKkxPq6fcmzR8fltW","Galaxies","spotify:artist:2C6mZWJko3FUk3vm91zmmX, spotify:artist:0F3vZAu9xOQPWqHoK5Bx8l","Stst, Squill","2018-12-03","https://i.scdn.co/image/ab67616d0000b2733698b530898b0b94932a5cb9","1","1","310571","https://p.scdn.co/mp3-preview/b363f2cf9f12921cbd8abf5f7ca48b0d9f276696?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","QMWZB1810058","","2020-08-27T19:43:40Z"
"spotify:track:66W1rVTnEv86dIkFhoiElg","Secrets","spotify:artist:4ofCBoyEiGSePFAG500xev, spotify:artist:5KKpBU5eC2tJDzf0wmlRp2","Regard, RAYE","spotify:album:6AgcNXTAFBxcOFRfxHUtxs","Secrets","spotify:artist:4ofCBoyEiGSePFAG500xev, spotify:artist:5KKpBU5eC2tJDzf0wmlRp2","Regard, RAYE","2020-04-24","https://i.scdn.co/image/ab67616d0000b2732b79437b4d0aa1145add6bb0","1","1","176766","https://p.scdn.co/mp3-preview/cca990295ff935ca47ec7edc6252f6bcc2086a8b?cid=9950ac751e34487dbbe027c4fd7f8e99","true","71","GBCEN2000044","","2020-08-23T23:01:20Z"
"spotify:track:0O7YtgDFf8FkRTPtDRP3cV","Oscillate","spotify:artist:2YrfEkWJvn1wue6JqekigJ, spotify:artist:50bLYJ4e3ZR2chodK8oMW9","Daktyl, Janelle Kroll","spotify:album:3ZN2GzuK6AlMXfp9ui2HNH","Oscillate","spotify:artist:2YrfEkWJvn1wue6JqekigJ","Daktyl","2018-07-10","https://i.scdn.co/image/ab67616d0000b273e90238a855e1980f05134b12","1","1","215050","https://p.scdn.co/mp3-preview/d3d92f374931889bdba787cbc6e0e8c69a5dd74c?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","GBCFB1800003","","2020-08-23T02:04:33Z"
"spotify:track:3YiIbihv68MDfynOxYsyQM","Sparking My Fire","spotify:artist:6kG0WKHsAOfWp5IsizmQxR, spotify:artist:07JjZMOwidxS5bcgvilg2y","SACHI, ROE","spotify:album:0jqN3zqsQ5FsxzFHJLxZLO","Nights With Ruby","spotify:artist:6kG0WKHsAOfWp5IsizmQxR","SACHI","2019-07-26","https://i.scdn.co/image/ab67616d0000b2732aefddc2dc68c7598a121e7b","1","4","186173","https://p.scdn.co/mp3-preview/6a071c68437af30f1b6cb88f93671f5e6b3ff3a8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","41","USUM71908967","","2020-08-23T02:03:53Z"
"spotify:track:6mBYF7u1EB35y7CPryro5p","Mayk Yu Myne?","spotify:artist:2IP71LH7CbwddhsEXBI0fy","1991","spotify:album:6Ild5wYCHbYaVbNw6VsZsp","Mayk Yu Myne?","spotify:artist:2IP71LH7CbwddhsEXBI0fy","1991","2017-11-17","https://i.scdn.co/image/ab67616d0000b273f81ea85de95422411cf3b4c3","1","1","209721","","false","0","GB2LD1700335","","2020-08-23T01:58:13Z"
"spotify:track:5ZWzmvbJnj933UJO0sl3Iy","Overthinking Rain","spotify:artist:5p0zkKpBuRguKebwRe0RI2, spotify:artist:2F8tffsSfw1767WgjtAHBW","Pierce Fulton, Noosa","spotify:album:4d7eeFueuS1NyQnXyB7PZN","Overthinking Rain","spotify:artist:5p0zkKpBuRguKebwRe0RI2, spotify:artist:2F8tffsSfw1767WgjtAHBW","Pierce Fulton, Noosa","2019-01-24","https://i.scdn.co/image/ab67616d0000b273ab2961f152588057d5718028","1","1","292500","https://p.scdn.co/mp3-preview/d968c7b2dca91f5c12497b6eb73434f4ba10a8b5?cid=9950ac751e34487dbbe027c4fd7f8e99","false","39","TCAEA1963062","","2020-08-23T01:57:01Z"
"spotify:track:6wQlQrTY5mVS8EGaFZVwVF","Smile (with The Weeknd)","spotify:artist:4MCBfE4596Uoi2O4DtmEMz, spotify:artist:1Xyo4u8uXC1ZmMpatF05PJ","Juice WRLD, The Weeknd","spotify:album:6n9DKpOxwifT5hOXtgLZSL","Legends Never Die","spotify:artist:4MCBfE4596Uoi2O4DtmEMz","Juice WRLD","2020-07-10","https://i.scdn.co/image/ab67616d0000b2733e0698e4ae5ffb82a005aeeb","1","7","196180","https://p.scdn.co/mp3-preview/93fe6e66d0e5f0a70f5bf4ff2e9977a273c49191?cid=9950ac751e34487dbbe027c4fd7f8e99","true","71","USUG12002597","","2020-08-21T19:46:29Z"
"spotify:track:17Cs25j5Ui6X6W4Hk1kAyC","Long Gone","spotify:artist:4MCBfE4596Uoi2O4DtmEMz","Juice WRLD","spotify:album:6tkjU4Umpo79wwkgPMV3nZ","Goodbye & Good Riddance","spotify:artist:4MCBfE4596Uoi2O4DtmEMz","Juice WRLD","2018-12-10","https://i.scdn.co/image/ab67616d0000b273f7db43292a6a99b21b51d5b4","1","15","187006","https://p.scdn.co/mp3-preview/d0d84ab60f5cdd1e40296787192522ce2e33be31?cid=9950ac751e34487dbbe027c4fd7f8e99","true","65","USUG11800955","","2020-08-21T19:41:56Z"
"spotify:track:5vaYVFncJFiu6D508YKUSO","Teach Me How To Touch Me - KC Gilmore Remix","spotify:artist:5uV5lYUeTdpm3gvJmPJkFL, spotify:artist:6eVYAfVL07Hl4r1EOASi91","Soane, KC Gilmore","spotify:album:3rZGyCXx6v4oMNnFtuHcdK","Teach Me How To Touch Me (KC Gilmore Remix)","spotify:artist:5uV5lYUeTdpm3gvJmPJkFL, spotify:artist:6eVYAfVL07Hl4r1EOASi91","Soane, KC Gilmore","2020-02-28","https://i.scdn.co/image/ab67616d0000b273b56697c57277c50df4171a87","1","1","346904","https://p.scdn.co/mp3-preview/227aa1dacbb2de637df1a30b1b0c9362f788aff3?cid=9950ac751e34487dbbe027c4fd7f8e99","true","43","GBWUL2011677","","2020-08-17T20:00:47Z"
"spotify:track:0tPH1IW0VxdIVCOZzF91C3","Infinite","spotify:artist:1bDXdxSg3Ve7V7f3bteIyk","Dreamers Delight","spotify:album:4jAEsmF6MSA1WqKa0MWhvl","Infinite","spotify:artist:1bDXdxSg3Ve7V7f3bteIyk","Dreamers Delight","2019-03-15","https://i.scdn.co/image/ab67616d0000b2732e44c5dda0e2a4f8f29ad7ea","1","1","193170","","false","0","TCAEC1961251","","2020-08-17T03:37:13Z"
"spotify:track:0rkVQ8MzzfX40xtNkC6hjA","Losing My Mind - Mandal & Forbes Remix","spotify:artist:0Q9slhIaEgg190iG8udYIV, spotify:artist:1eIoJGCu3rShrRm2wfOhN8, spotify:artist:2IsGmtnhtOaU6EZeRwfxJv","Philip George, Saint Raymond, Mandal & Forbes","spotify:album:5SUJGeUQD32tzJRfgikYHR","Losing My Mind (Mandal & Forbes Remix)","spotify:artist:0Q9slhIaEgg190iG8udYIV","Philip George","2018-05-04","https://i.scdn.co/image/ab67616d0000b273a03fd4a15d3418b66ce2e859","1","1","268524","https://p.scdn.co/mp3-preview/cdb3e55f57200e9daf92452e23a9040598171402?cid=9950ac751e34487dbbe027c4fd7f8e99","false","47","GBSXS1700219","","2020-08-17T02:28:02Z"
